"app"	FP64 Inst (G; absolute)	% of FP64 instructions *	FP32 Inst (G; absolute)	% of FP32 instructions	Int Inst (G; absolute)	% of INT instructions
AMG	110.809510288	23.42602816	5.84e-07	0.0000001234623311	362.2092593	76.57397172
""	110.271485116	23.82132407	9.61e-07	0.0000002075993845	352.639327665	76.17867572
""	110.271485116	23.82132404	8.4e-07	0.0000001814604398	352.639328491	76.17867578
""	-	-	-	-	-	-
CNDL	0.011566434	0.0001192184407	6918.339947469	71.30924717	2783.531793	28.69063361
""	-	-	-	-	-	-
""	-	-	-	-	-	-
""	-	-	-	-	-	-
CoMD	152.022248079	99.86544287	0.0	0	0.204832394	0.1345571323
""	161.69056858	89.82357873	14.842126483	8.245211383	3.476352526	1.931209888
""	161.842474325	89.81201102	14.880063125	8.257463925	3.478832603	1.930525058
""	-	-	-	-	-	-
LAGO	44.534302543	9.55673684	0.0	0	421.4647439	90.44326316
""	85.546831876	7.491321663	0.422211208	0.03697296439	1055.976740673	92.47170537
""	85.383012612	7.476973818	0.422211208	0.03697295342	1056.140898897	92.48605323
""	-	-	-	-	-	-
MxIO	0.070070495	0.0964471433	2.88e-07	0.0000003964118888	72.58163522	99.90355246
""	0.613025577	0.7808850157	0.007021394	0.008944000984	77.88390235	99.21017098
""	0.613025641	0.7808850868	0.007021394	0.008944000865	77.883903334	99.21017091
""	-	-	-	-	-	-
MAMR	40.816049269	19.15052411	0.0	0	172.3167561	80.84947589
""	291.536464435	7.987039184	0.013664284	0.0003743517022	3358.56924263	92.01258646
""	291.536464435	7.987037269	0.013664284	0.0003743516125	3358.570117476	92.01258838
""	-	-	-	-	-	-
MiFE	30.693263932	20.27179448	0.0	0	120.715453	79.72820552
""	28.961235363	14.01357878	2.059e-06	0.0000009962958537	177.704281902	85.98642022
""	32.8919869	4.683710391	0.000143928	0.00002049487224	669.371334608	95.31626911
""	-	-	-	-	-	-
MTri	8e-09	0.000000006769462193	7.9e-08	0.00000006684843916	118.1777779	99.99999993
""	4.9e-08	0.00000004143358569	5.15e-07	0.0000004354754414	118.261547848	99.99999952
""	4.9e-08	0.00000004143347146	3.94e-07	0.0000003331589338	118.261873999	99.99999963
""	-	-	-	-	-	-
NekB	301.558974487	96.74723848	0.0	0	10.138784762	3.252761517
""	410.360836855	94.61168222	3.0554e-05	0.00000704444742	23.370810584	5.388310739
""	410.380710791	94.59033271	2.9088e-05	0.000006704612389	23.469844041	5.409660586
""	-	-	-	-	-	-
SW4L	136.834979619	98.85470351	0.0	0	1.585322859	1.145296485
""	145.937921718	99.48132694	2.4972e-05	0.0000170226331	0.760862228	0.5186560365
""	146.04823017	99.47966269	2.1816e-05	0.00001485980569	0.76389657	0.5203224512
""	-	-	-	-	-	-
FFT	12.239167899	23.98822434	2e-09	0.000000003919910983	38.78239888	76.01177566
