Ghz	1.2 Ghz	1.3 Ghz	1.4 Ghz	1.5 Ghz	1.6 Ghz	1.7 Ghz	1.8 Ghz	1.9 Ghz	2.0 Ghz	2.1 Ghz	2.2 Ghz	2.2 Ghz + Turbo
AMG	1	0.007669579266	0.006530699806	0.00497960485	0.004004315683	0.001411186419	-0.001717085339	0.005100114909	0.003877506949	0.00146886972	0.001604879049	0.001290842032
CNDL	1	0.01777008438	0.03856621318	0.02348017087	0.02026269698	0.01935497875	0.0255985641	0.003200778985	0.02050969217	0.002402075347	0.02023545448	-0.1129157955
CoMD	1	0.07787557448	0.07143369912	0.08854940579	0.07503272284	0.08337736909	0.07739863213	0.07658146775	0.07652731966	0.07392283815	0.0764034681	0.0003626214558
LAGO	1	0.07618872246	0.07093351205	0.07684512082	0.07263532904	0.0840847413	0.07512986763	0.06419653048	0.0675418205	0.07411225097	0.07897063367	0.01060500015
MxIO	1	0.07223981116	0.09246223837	0.08207969012	0.08436010045	0.08369995758	0.08261243146	0.06894724202	0.0968887458	0.08130115836	0.07213831066	0.01172464294
MAMR	1	0.0432523581	0.02573512681	0.02697646719	0.02758843613	0.02977054959	0.01635489614	0.01852662798	0.01722275156	0.0174961029	0.01966418931	0.01276600381
MiFE	1	0.01131160559	0.0102388484	0.002230428768	0.002558798868	0.0104222682	0.001320448692	0.006376031336	0.00318511357	-0.0008091621552	0.002611943404	0.008098838928
MTri	1	0.07640948301	0.0687794327	0.03227699655	0.03553151737	0.03993499528	0.03964149113	0.05117792766	0.03598716287	0.01327900355	0.02410676389	0.07124412672
NekB	1	0.03684133869	0.03005723904	0.02979579998	0.02097248216	0.02811976676	0.01758697486	0.02389719103	0.01318852019	0.01375823192	0.01693705582	0.006518974236
SW4L	1	0.08036199892	0.07143377192	0.06773545833	0.05762376467	0.07141887077	0.06217412867	0.04853127971	0.0717716745	0.0598124681	0.05858797353	-0.002743587507
FFT	1	0.04369400313	0.0413359388	0.03771097658	0.03496521803	0.03416774121	0.02683134631	0.02735846853	0.02488460876	0.02077553317	0.02218468418	0.005213831675
XSBn	1	0.01831514549	0.03057448582	0.02406023834	0.01023962505	0.02478772479	0.02181803255	-0.08194710703	-0.02498024142	-0.001236698077	0.04555868997	-0.008095805031
""	-	-		-		-		-		-		-		-		-		-		-		-
FFB	1	0.0746223646	0.07612062288	0.08166505196	0.07394614191	0.0784441602	0.07307641308	0.06698367094	0.07427368769	0.06799078753	0.07746489212	0.007478674987
FFVC	1	0.08151069306	0.08121719287	0.0770596328	0.07797228787	0.07669678237	0.07442933947	0.09661329912	0.05648695182	0.08548239071	0.06132637682	0.01293176695
MDYL	1	0.08421702827	0.07387633671	0.08261344545	0.07726456856	0.1132712986	0.08527275279	0.08511388728	0.08544657789	0.08280293334	0.08254610414	0.005546430392
mVMC	1	0.07808217186	0.08127014669	0.07016693473	0.08933275465	0.06270756991	0.06286186112	0.08396626796	0.06956184817	0.07050420474	0.07579468427	-0.01842560401
NGSA	1	0.07852318779	0.07783327086	0.07693114645	0.07637194643	0.07545140245	0.07405655797	0.07368389872	0.07413133009	0.07204976086	0.07934626387	0.0002751015199
NICM	1	0.04897018553	0.04408485101	0.04117237006	0.038043141	0.0335507143	0.03067520765	0.02685385433	0.02575699256	0.02677253608	0.02344820037	-0.001980508569
NTCh	1	0.07353463296	0.08385105189	0.06568471706	0.0794698941	0.07369961908	0.06947983498	0.05147264313	0.08971485039	0.07381729793	0.09700562867	-0.02202812465
QCD	1	0.008468043167	0.03010707742	0.04597684512	-0.008467223829	-0.007454493376	0.003012684354	0.005914191863	-0.003783925646	0.03055501234	-0.008159504443	0.02686388174
""	-	-		-		-		-		-		-		-		-		-		-		-
HPL	1	0.07291101779	0.07931230587	0.08065194575	0.08364351135	0.06961555936	0.0801650305	0.06847630368	0.0707776986	0.06616859899	0.07085825282	0.01378476858
HPCG	1	0.05038123749	0.07774462543	0.03749179113	0.05906021504	0.0362977391	0.02336718143	0.01740245041	0.01304672628	0.007695129783	0.00741722341	-0.0000748424685
""	-	-		-		-		-		-		-		-		-		-		-		-
ThPeak	1	0.08333333333	0.08333333333	0.08333333333	0.08333333333	0.08333333333	0.08333333333	0.08333333333	0.08333333333	0.08333333333	0.08333333333	0.08333333333
