#ECP	GFLOPS/s(SP+DP)	Cores	GFLOPS/s(SP+DP)	Cores	GFLOPS/s(SP+DP)	Cores	PeakFlopBDW	PeakFlopKNL	PeakFlopKNM
AMG	10.27888935	24	18.20524283	64	14.83375588	72	691.2	2662.0	1728.0
CNDL	88.42498228	24	115.6994623	64	136.9228055	72	1382.4	5324.0	13824.0
CoMD	52.0477441	24	55.19929354	64	55.32373325	72	691.2	2662.0	1728.0
LAGO	8.028259304	24	6.364495905	64	6.743016389	64	691.2	2662.0	1728.0
MxIO	-		4	-		64	-		72	691.2	2662.0	1728.0
MAMR	-		24	-		64	-		72	691.2	2662.0	1728.0
MiFE	20.80705991	24	41.74015188	64	49.1321116	72	691.2	2662.0	1728.0
MTri	-		24	-		64	-		72	691.2	2662.0	1728.0
NekB	53.17384438	24	124.7322112	64	137.5421301	72	691.2	2662.0	1728.0
SW4L	66.56981141	24	86.55653103	64	93.06888326	72	691.2	2662.0	1728.0
FFT	11.24502865	24	10.27490446	64	10.55924949	72	691.2	2662.0	1728.0
XSBn	9.853574266	24	21.47995819	64	25.43034462	72	691.2	2662.0	1728.0
""	-	-	-	-	-	-	-	-	-
FFB	44.10702815	24	31.64319697	64	33.66078555	72	1382.4	5324.0	13824.0
FFVC	134.0382493	24	131.7982576	64	127.0300403	72	1382.4	5324.0	13824.0
MDYL	148.5651039	24	279.353745	64	261.7701727	72	691.2	2662.0	1728.0
mVMC	80.98397194	24	55.28455296	64	58.0916962	72	691.2	2662.0	1728.0
NGSA	-		24	-		64	-		72	691.2	2662.0	1728.0
NICM	15.05463246	24	11.17850223	64	12.29118077	70	691.2	2662.0	1728.0
NTCh	146.7731198	24	85.84771388	64	107.8960653	72	691.2	2662.0	1728.0
QCD	46.7329452	24	74.84804625	64	65.36128135	72	691.2	2662.0	1728.0
""	-	-	-	-	-	-	-	-	-
HPL	667.7265925	24	1266.79704	64	1261.536276	72	691.2	2662.0	1728.0
HPCG	14.4849023	24	13.73620797	64	14.29153546	64	691.2	2662.0	1728.0
