Ghz	1.0 Ghz	1.1 Ghz	1.2 Ghz	1.3 Ghz	1.3 Ghz + Turbo
AMG	1	0.0518987652	0.02588147428	0.01373866599	0.2191857717
CNDL	1	0.06291825418	0.09493221505	0.0275258153	0.1093474927
CoMD	1	0.0921381685	0.0928229378	0.09354601848	0.1889070906
LAGO	1	0.1035495082	0.09351470188	0.1050364533	0.2143256504
MxIO	1	0.09811604164	0.1080851783	0.1023356811	0.205562989
MAMR	1	0.05352554013	0.04631468868	0.04347426349	0.073686765
MiFE	1	0.09596084898	0.07727787603	0.05932182898	0.1362619225
MTri	1	0.08353848268	0.06354412413	0.07210656434	0.09562050812
NekB	1	0.05083715824	0.03526369075	0.04103613836	0.05554291362
SW4L	1	0.08816304011	0.09174532183	0.08432267078	0.1652007371
FFT	1	0.07152184338	0.07338080259	0.06028486336	0.1006888631
XSBn	1	0.07138457162	0.0603551086	0.05509315763	0.121425968
""	-	-		-		-		-
FFB	1	0.08162940637	0.07485758251	0.06968222615	0.1395827771
FFVC	1	0.09013390505	0.08906629184	0.07121576321	0.1529109249
MDYL	1	0.09659943185	0.09188438081	0.08990611276	0.1921868059
mVMC	1	0.09452045959	0.0929087584	0.09326997167	0.1783600753
NGSA	1	0.1003330994	0.09837937054	0.09769593022	0.00532560263
NICM	1	0.06675122948	0.05584864671	0.05886835794	-0.01081269014
NTCh	1	0.06537334689	0.08694922806	0.08332576392	0.1385361644
QCD	1	0.09429535792	0.08207284705	0.07720942024	0.11805347
""	-	-		-		-		-
HPL	1	0.07183471566	0.04751573364	0.05276459002	0.04341712117
HPCG	1	0.001351306126	0.00453093301	0.001999071195	-0.0172668022
""	-	-		-		-		-
ThPeak	1	0.1	0.1	0.1	0.1
