Ghz	1.0 Ghz	1.1 Ghz	1.2 Ghz	1.3 Ghz	1.4 Ghz	1.5 Ghz	1.5 Ghz + Turbo
AMG	1	0.08994767473	0.04614184504	0.04844955573	0.05262793083	0.03801432055	-0.07594287335
CNDL	1	0.05251507921	0.04943548034	0.1025742367	0.004759876783	0.01930076233	0.03069045208
CoMD	1	0.1013310632	0.09313748486	0.09165058055	0.08491194729	0.09041114305	0.05974951577
LAGO	1	0.1072240048	0.0948126229	0.1064417722	0.1013366924	0.09118687615	0.103055912
MxIO	1	0.1069020699	0.1032772828	0.1045924146	0.1023191734	0.1019193784	0.09905951265
MAMR	1	0.05860079409	0.04636361926	0.04563166331	0.03900808267	0.03393289814	0.024242632
MiFE	1	0.0824679436	0.06333554089	0.05212838328	0.05311318698	0.007505378385	0.03876248782
MTri	1	0.05868923797	0.06956636667	0.0634600472	0.1330790845	-0.009864572713	0.005039057331
NekB	1	0.05462261434	0.0392015265	0.03809125781	0.03467270938	0.01809007949	0.05875599578
SW4L	1	0.08994165595	0.08457910824	0.09740382265	0.07986991437	0.09239640032	0.06257443654
FFT	1	0.07208567479	0.06623262622	0.05646685595	0.05991920571	0.0605824612	0.04276209277
XSBn	1	0.07730284994	0.05603419869	0.1080059597	0.01279856852	0.07200012397	0.0243020249
""	-	-		-		-		-		-		-
FFB	1	0.0846894594	0.07420474782	0.07796793877	0.06934721741	0.07270882286	0.06335224719
FFVC	1	0.158219199	0.04055256139	0.1063129015	0.05836479875	0.06982314882	0.05278877706
MDYL	1	0.09526750384	0.09754311936	0.09497836707	0.09309248196	0.09024781972	0.08096771483
mVMC	1	0.09853180723	0.1304071027	0.08616145286	0.09265103956	0.09815530268	0.02947579657
NGSA	1	0.09884106318	0.09884122708	0.09755767547	0.09645910411	0.09608952298	0.002343345525
NICM	1	0.07317091714	0.06399761441	0.05255108622	0.05201853032	0.04950199847	-0.002024978856
NTCh	1	0.07784073716	0.08286817934	0.07124950503	0.07707679366	0.08326158931	0.09411287544
QCD	1	0.09040554719	0.07019974455	0.1300271276	0.01007909314	0.1104056374	0.05744749157
""	-	-		-		-		-		-		-
HPL	1	0.09014236387	0.1002473412	0.08513733655	0.1002355681	0.08569429008	0.06497773184
HPCG	1	0.002960049854	0.0007025780761	0.007761604518	-0.001082556882	-0.001375473041	-0.01874219891
""	-	-		-		-		-		-		-
ThPeak	1	0.1	0.1	0.1	0.1	0.1	0.1
