#BM	solvtime	cores	solvtime	cores	solvtime	cores
AMG	10.78030	24	6.057128	64	7.433821	72
CNDL	78.239784	24	59.79578304	64	50.5273020267	72
CoMD	2.920823	24	3.198097	64	3.194335	72
LAGO	5.547192842	24	13.50759657	64	12.725050462	64
MxIO	10.497531	4	35.10921	64	33.235683	72
MAMR	55.386331	24	47.150054	64	44.652538	72
MiFE	1.475137	24	0.693846	64	0.669463	72
MTri	5.478330	24	8.629039	64	9.545465	72
NekB	5.671190	24	3.289935	64	2.983673	72
SW4L	2.055511	24	1.686042	64	1.569249	72
FFT	1.088407	24	1.235388	64	1.189452	72
XSBn	2.021725	24	1.289569	64	1.219785	72
""	-	-	-	-	-	-
FFB	5.326601	24	8.243843	64	7.749833	72
FFVC	12.691182	24	13.008565	64	13.496859	72
MDYL	36.101114	24	22.513899	64	24.026198	72
mVMC	13.489012	24	20.678659	64	19.65887	72
NGSA	105.879256	24	829.674676	64	724.545889	72
NICM	28.448679	24	37.801948	64	34.379867	70
NTCh	8.962873	24	18.985209	64	14.606021	72
QCD	13.102179	24	8.437386	64	9.662018	72
""	-	-	-	-	-	-
HPL	271.794238	24	145.399605	64	146.561849	72
HPCG	38.595095	24	44.61194	64	42.864889	64
